#  x,y,yaw,vx
10.0419,7.6644,-2.9087,1.0000
9.9445,7.6413,-2.8951,1.0000
9.8475,7.6169,-2.8823,1.0000
9.7506,7.5912,-2.8704,1.0000
9.6532,7.5641,-2.8595,1.0000
9.5584,7.5366,-2.8489,1.0000
9.4613,7.5074,-2.8345,1.0000
9.3666,7.4773,-2.8137,1.0000
9.2727,7.4454,-2.7865,1.0000
9.1789,7.4106,-2.7543,1.0000
9.0873,7.3732,-2.7194,1.0000
8.9958,7.3322,-2.6852,1.0000
8.9067,7.2884,-2.6513,1.0000
8.8183,7.2412,-2.6173,1.0000
8.7323,7.1915,-2.5839,1.0000
8.6474,7.1386,-2.5517,1.0000
8.5646,7.0831,-2.5212,1.0000
8.4834,7.0251,-2.4926,1.0000
8.4040,6.9648,-2.4662,1.0000
8.3261,6.9024,-2.4421,1.0000
8.2499,6.8383,-2.4209,1.0000
8.1749,6.7724,-2.4029,1.0000
8.1012,6.7053,-2.3869,1.0000
8.0283,6.6368,-2.3716,1.0000
7.9568,6.5674,-2.3567,1.0000
7.8860,6.4967,-2.3421,1.0000
7.8165,6.4253,-2.3278,1.0000
7.7478,6.3526,-2.3135,1.0000
7.6804,6.2791,-2.2995,1.0000
7.6139,6.2046,-2.2855,1.0000
7.5484,6.1291,-2.2716,1.0000
7.4841,6.0529,-2.2577,1.0000
7.4206,5.9755,-2.2438,1.0000
7.3585,5.8976,-2.2299,1.0000
7.2972,5.8184,-2.2158,1.0000
7.2373,5.7389,-2.2016,1.0000
7.1782,5.6579,-2.1872,1.0000
7.1207,5.5767,-2.1725,1.0000
7.0640,5.4942,-2.1575,1.0000
7.0088,5.4112,-2.1421,1.0000
6.9548,5.3272,-2.1262,1.0000
6.9021,5.2423,-2.1098,1.0000
6.8510,5.1567,-2.0928,1.0000
6.8010,5.0698,-2.0751,1.0000
6.7529,4.9828,-2.0565,1.0000
6.7062,4.8943,-2.0370,1.0000
6.6614,4.8052,-2.0163,1.0000
6.6184,4.7151,-1.9942,1.0000
6.5772,4.6238,-1.9707,1.0000
6.5384,4.5320,-1.9459,1.0000
6.5018,4.4389,-1.9198,1.0000
6.4677,4.3452,-1.8926,1.0000
6.4361,4.2504,-1.8643,1.0000
6.4072,4.1548,-1.8352,1.0000
6.3811,4.0584,-1.8052,1.0000
6.3579,3.9613,-1.7745,1.0000
6.3377,3.8634,-1.7431,1.0000
6.3205,3.7650,-1.7112,1.0000
6.3066,3.6661,-1.6787,1.0000
6.2958,3.5667,-1.6459,1.0000
6.2883,3.4674,-1.6125,1.0000
6.2842,3.3673,-1.5789,1.0000
6.2833,3.2676,-1.5450,1.0000
6.2859,3.1676,-1.5108,1.0000
6.2919,3.0679,-1.4764,1.0000
6.3013,2.9687,-1.4416,1.0000
6.3142,2.8693,-1.4065,1.0000
6.3305,2.7714,-1.3711,1.0000
6.3504,2.6729,-1.3351,1.0000
6.3736,2.5761,-1.2985,0.9833
6.4005,2.4798,-1.2610,0.9630
6.4309,2.3848,-1.2224,0.9413
6.4650,2.2910,-1.1820,0.9183
6.5029,2.1986,-1.1395,0.8947
6.5445,2.1081,-1.0939,0.8707
6.5903,2.0193,-1.0436,0.8480
6.6405,1.9332,-0.9878,0.8267
6.6956,1.8497,-0.9250,0.8087
6.7555,1.7701,-0.8545,0.7953
6.8214,1.6945,-0.7782,0.7840
6.8922,1.6247,-0.6957,0.7767
6.9694,1.5602,-0.6086,0.7713
7.0508,1.5035,-0.5164,0.7707
7.1386,1.4537,-0.4237,0.7703
7.2286,1.4131,-0.3319,0.7697
7.3246,1.3800,-0.2519,0.7697
7.4197,1.3555,-0.1908,0.7800
7.5191,1.3363,-0.1616,0.8010
7.6159,1.3205,-0.1579,0.8453
7.7143,1.3049,-0.1568,0.9060
7.8107,1.2896,-0.1415,0.9633
7.9108,1.2754,-0.1133,1.0000
8.0085,1.2642,-0.0787,1.0000
8.1095,1.2563,-0.0407,1.0000
8.2083,1.2523,-0.0014,1.0000
8.3098,1.2521,0.0386,1.0000
8.4086,1.2559,0.0778,1.0000
8.5095,1.2638,0.1170,1.0000
8.6082,1.2754,0.1552,1.0000
8.7072,1.2909,0.1930,1.0000
8.8054,1.3101,0.2299,1.0000
8.9026,1.3328,0.2656,1.0000
8.9990,1.3591,0.3000,1.0000
9.0944,1.3886,0.3327,1.0000
9.1888,1.4212,0.3637,1.0000
9.2821,1.4567,0.3932,1.0000
9.3744,1.4950,0.4214,1.0000
9.4655,1.5358,0.4483,1.0000
9.5556,1.5791,0.4742,1.0000
9.6443,1.6247,0.4990,1.0000
9.7322,1.6726,0.5228,1.0000
9.8185,1.7223,0.5456,1.0000
9.9041,1.7743,0.5675,1.0000
9.9882,1.8279,0.5885,1.0000
10.0713,1.8833,0.6087,1.0000
10.1533,1.9405,0.6278,1.0000
10.2339,1.9990,0.6461,1.0000
10.3140,2.0594,0.6635,1.0000
10.3922,2.1205,0.6799,1.0000
10.4703,2.1837,0.6953,1.0000
10.5467,2.2474,0.7097,1.0000
10.6228,2.3128,0.7231,1.0000
10.6974,2.3786,0.7355,1.0000
10.7717,2.4458,0.7473,1.0000
10.8448,2.5135,0.7586,1.0000
10.9175,2.5825,0.7694,1.0000
10.9890,2.6517,0.7799,1.0000
11.0601,2.7221,0.7903,1.0000
11.1301,2.7927,0.8008,1.0000
11.1995,2.8644,0.8094,1.0000
11.2683,2.9365,0.8150,1.0000
11.3367,3.0090,0.8180,1.0000
11.4050,3.0820,0.8192,1.0000
11.4731,3.1549,0.8211,1.0000
11.5412,3.2280,0.8246,1.0000
11.6089,3.3012,0.8301,1.0000
11.6763,3.3749,0.8375,1.0000
11.7431,3.4490,0.8469,1.0000
11.8092,3.5239,0.8581,1.0000
11.8744,3.5994,0.8710,1.0000
11.9387,3.6757,0.8856,1.0000
12.0019,3.7530,0.9017,1.0000
12.0638,3.8313,0.9193,1.0000
12.1244,3.9107,0.9383,1.0000
12.1833,3.9912,0.9587,1.0000
12.2407,4.0729,0.9803,1.0000
12.2963,4.1558,1.0032,1.0000
12.3499,4.2399,1.0271,1.0000
12.4016,4.3255,1.0520,1.0000
12.4510,4.4119,1.0781,1.0000
12.4984,4.5003,1.1053,1.0000
12.5430,4.5889,1.1334,1.0000
12.5857,4.6802,1.1616,1.0000
12.6249,4.7706,1.1881,1.0000
12.6624,4.8638,1.2126,1.0000
12.6973,4.9570,1.2354,1.0000
12.7302,5.0514,1.2575,1.0000
12.7612,5.1472,1.2793,1.0000
12.7899,5.2429,1.3016,1.0000
12.8165,5.3392,1.3250,1.0000
12.8410,5.4370,1.3491,1.0000
12.8630,5.5345,1.3737,1.0000
12.8825,5.6323,1.3992,1.0000
12.8998,5.7319,1.4247,1.0000
12.9140,5.8285,1.4509,1.0000
12.9263,5.9306,1.4756,1.0000
12.9356,6.0275,1.4974,1.0000
12.9430,6.1292,1.5126,1.0000
12.9487,6.2265,1.5199,1.0000
12.9538,6.3271,1.5285,0.9663
12.9580,6.4260,1.5427,0.9167
12.9608,6.5257,1.5659,0.8690
12.9613,6.6253,1.5994,0.8270
12.9585,6.7252,1.6433,0.7913
12.9512,6.8246,1.6970,0.7627
12.9387,6.9237,1.7601,0.7400
12.9199,7.0218,1.8321,0.7240
12.8941,7.1180,1.9138,0.7150
12.8605,7.2123,2.0047,0.7150
12.8187,7.3024,2.1074,0.7097
12.7676,7.3884,2.2166,0.7090
12.7077,7.4679,2.3222,0.7090
12.6394,7.5409,2.4231,0.7120
12.5642,7.6067,2.5180,0.7180
12.4832,7.6649,2.6075,0.7270
12.3972,7.7158,2.6921,0.7380
12.3073,7.7592,2.7718,0.7503
12.2141,7.7953,2.8469,0.7640
12.1185,7.8243,2.9169,0.7787
12.0212,7.8466,2.9821,0.7950
11.9224,7.8625,3.0417,0.8123
11.8232,7.8724,3.0959,0.8320
11.7231,7.8770,-3.1394,0.8527
11.6235,7.8768,-3.0981,0.8763
11.5234,7.8724,-3.0642,0.9027
11.4241,7.8647,-3.0385,0.9327
11.3246,7.8544,-3.0218,0.9670
11.2258,7.8426,-3.0140,1.0000
11.1268,7.8299,-3.0140,1.0000
11.0286,7.8173,-3.0194,1.0000
10.9289,7.8050,-3.0264,1.0000
10.8320,7.7938,-3.0267,1.0000
10.7304,7.7821,-3.0198,1.0000
